Date,Name,Year,Letterboxd URI,Rating
2021-01-12,A Bug's Life,1998,https://boxd.it/1Yyy,3
2021-01-12,Brave,2012,https://boxd.it/bVG,3
2021-01-12,Cars 2,2011,https://boxd.it/H4Y,3.5
2021-01-12,The Shape of Water,2017,https://boxd.it/dZ5m,4.5
2021-01-12,Wonder Woman,2017,https://boxd.it/9roG,3.5
2021-01-12,Aquaman,2018,https://boxd.it/9ru0,3.5
2021-01-12,Beauty and the Beast,2017,https://boxd.it/ar0c,3.5
2021-01-12,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,4
2021-01-12,The Circle,2017,https://boxd.it/bj1I,3
2021-01-12,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
2021-01-12,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,4.5
2021-01-12,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/nmS,4
2021-01-12,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/43aU,4
2021-01-12,The Maze Runner,2014,https://boxd.it/5YPM,4
2021-01-12,Maze Runner: The Scorch Trials,2015,https://boxd.it/9hwA,3
2021-01-12,Maze Runner: The Death Cure,2018,https://boxd.it/bakw,3.5
2021-01-12,The Peanut Butter Falcon,2019,https://boxd.it/gzu2,4
2021-01-12,How to Train Your Dragon: The Hidden World,2019,https://boxd.it/5a9w,3.5
2021-01-12,Jumanji: The Next Level,2019,https://boxd.it/ixu4,3.5
2021-01-12,The Lego Movie 2: The Second Part,2019,https://boxd.it/8BAU,3.5
2021-01-12,Frozen II,2019,https://boxd.it/aPvo,3.5
2021-01-12,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,3
2021-01-12,Godzilla: King of the Monsters,2019,https://boxd.it/cY7Y,4
2021-01-12,IO,2019,https://boxd.it/fmCU,3.5
2021-01-12,Wonder Park,2019,https://boxd.it/e1A2,3
2021-01-12,Game Night,2018,https://boxd.it/fRtu,3.5
2021-01-12,Bumblebee,2018,https://boxd.it/f21O,3.5
2021-01-12,The Night Comes for Us,2018,https://boxd.it/g2lc,4
2021-01-12,Ralph Breaks the Internet,2018,https://boxd.it/edAy,4
2021-01-12,Deadpool 2,2018,https://boxd.it/dlLM,4
2021-01-12,Red Sparrow,2018,https://boxd.it/e7Pi,3
2021-01-12,Tomb Raider,2018,https://boxd.it/bgbA,3.5
2021-01-12,Smallfoot,2018,https://boxd.it/fUCE,3
2021-01-12,Venom,2018,https://boxd.it/b8wA,3
2021-01-12,Rampage,2018,https://boxd.it/f9a4,2.5
2021-01-12,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/bg8G,3
2021-01-12,Skyscraper,2018,https://boxd.it/fVqa,2.5
2021-01-12,Mortal Engines,2018,https://boxd.it/fahg,3
2021-01-12,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,3.5
2021-01-12,Logan,2017,https://boxd.it/7Piy,4.5
2021-01-12,Kong: Skull Island,2017,https://boxd.it/9ewM,3.5
2021-01-12,John Wick: Chapter 2,2017,https://boxd.it/ayGu,4
2021-01-12,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,3.5
2021-01-12,Despicable Me 3,2017,https://boxd.it/azpu,2.5
2021-01-12,The Fate of the Furious,2017,https://boxd.it/bbCw,3.5
2021-01-12,Justice League,2017,https://boxd.it/4w68,3
2021-01-12,The Handmaiden,2016,https://boxd.it/948A,4.5
2021-01-12,Tomorrowland,2015,https://boxd.it/4YaC,3
2021-01-12,John Wick,2014,https://boxd.it/7dEc,4
2021-01-12,Ender's Game,2013,https://boxd.it/2N9Y,3
2021-01-12,Wreck-It Ralph,2012,https://boxd.it/2TTS,3.5
2021-01-12,Skyfall,2012,https://boxd.it/17Fc,4
2021-01-12,Life of Pi,2012,https://boxd.it/37pC,4.5
2021-01-12,Madagascar 3: Europe's Most Wanted,2012,https://boxd.it/2NF6,3
2021-01-12,Fast Five,2011,https://boxd.it/BgO,3
2021-01-12,The Adventures of Tintin,2011,https://boxd.it/1Irc,3
2021-01-12,The Raid,2011,https://boxd.it/3hBy,4
2021-01-12,Tangled,2010,https://boxd.it/15gO,3
2021-01-12,Spirited Away,2001,https://boxd.it/2b4m,4.5
2021-01-12,The Assistant,2019,https://boxd.it/neWo,4.5
2021-01-12,Project Almanac,2015,https://boxd.it/6IP4,3.5
2021-01-12,Patema Inverted,2013,https://boxd.it/6kwC,3
2021-01-12,Whipped,2020,https://boxd.it/o688,2
2021-01-12,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/2aR8,4
2021-01-12,The Space Between Us,2017,https://boxd.it/cF0u,2.5
2021-01-13,Professor Marston and the Wonder Women,2017,https://boxd.it/eRPS,3
2021-01-13,Two Blue Stripes,2019,https://boxd.it/lw7k,3.5
2021-01-14,Deadpool,2016,https://boxd.it/9fOC,3.5
2021-01-14,It,2017,https://boxd.it/bC8e,3
2021-01-14,Spider-Man: Far From Home,2019,https://boxd.it/fegG,3.5
2021-01-14,Finding Nemo,2003,https://boxd.it/72i,3
2021-01-14,Big Hero 6,2014,https://boxd.it/5rje,3.5
2021-01-18,What's Up with Love? 2,2016,https://boxd.it/dNtw,4
2021-01-18,Crazy Awesome Teachers,2020,https://boxd.it/oo3A,3
2021-01-21,Back to the Future,1985,https://boxd.it/2b8e,4.5
2021-01-21,Avengers: Infinity War,2018,https://boxd.it/9vEe,4.5
2021-01-21,"I, Tonya",2017,https://boxd.it/dzR0,4
2021-01-21,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,3.5
2021-01-21,Lucy,2014,https://boxd.it/75hu,3.5
2021-01-21,The Garden of Words,2013,https://boxd.it/5Ymq,3.5
2021-01-23,Yang Tak Tergantikan,2021,https://boxd.it/tsAI,3.5
2021-02-04,The Neighbors' Window,2019,https://boxd.it/m92e,4.5
2021-03-11,The Heartbreak Club,2021,https://boxd.it/p4oK,3
2021-03-20,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,4
2021-04-24,Artemis Fowl,2020,https://boxd.it/h3Vs,3
2021-04-24,Suicide Squad,2016,https://boxd.it/9row,3
2021-04-24,It Chapter Two,2019,https://boxd.it/h10u,3
2021-04-27,Knives Out,2019,https://boxd.it/jWEA,4
2021-04-28,Sound of Metal,2019,https://boxd.it/i7Q4,4
2021-05-03,Jojo Rabbit,2019,https://boxd.it/iEBG,4.5
2021-05-09,Dunkirk,2017,https://boxd.it/d0Y6,4.5
2021-05-11,Bad Genius,2017,https://boxd.it/ggpM,4
2021-05-12,The Wind Rises,2013,https://boxd.it/4JQS,4
2021-05-14,Howl's Moving Castle,2004,https://boxd.it/23De,3.5
2021-05-20,22 vs. Earth,2021,https://boxd.it/uyDA,4
2021-05-20,Lamp Life,2020,https://boxd.it/lTYG,4
2021-05-24,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2021-10-20,Cruella,2021,https://boxd.it/bbKg,4
2021-10-20,Snowpiercer,2013,https://boxd.it/3Icg,4
2021-10-20,Black Widow,2021,https://boxd.it/hWV8,3
